exp,from,to,by
2,webmd,cnn,adsrvr
2,webmd,nytimes,doubleclick
2,webmd,cnn,bluekai
2,webmd,cnn,everesttech
2,webmd,cnn,quantserve
2,webmd,theguardian,pubmatic
2,webmd,cnn,adnxs
2,webmd,forbes,1rx
2,webmd,washingtonpost,rkdms
2,webmd,cnn,scorecardresearch
2,webmd,forbes,krxd
2,webmd,theguardian,demdex
2,webmd,theguardian,scorecardresearch
2,webmd,forbes,bidr
2,webmd,cnn,mfadsrvr
2,webmd,theguardian,doubleclick
2,webmd,forbes,atdmt
2,webmd,cnn,doubleclick
2,webmd,forbes,srv
2,webmd,cnn,zemanta
2,webmd,nytimes,scorecardresearch
2,webmd,cnn,rkdms
2,webmd,theguardian,adform
2,webmd,nytimes,crwdcntrl
2,webmd,theguardian,quantserve
2,webmd,theguardian,owneriq
2,webmd,theguardian,zorosrv
2,webmd,washingtonpost,srv
2,webmd,forbes,addthis
2,webmd,theguardian,crwdcntrl
2,webmd,forbes,quantserve
2,webmd,theguardian,ipredictive
2,webmd,forbes,scorecardresearch
2,webmd,forbes,tapad
2,webmd,theguardian,bidswitch
2,webmd,theguardian,adsymptotic
2,webmd,forbes,advertising
2,webmd,theguardian,krxd
2,webmd,washingtonpost,adnxs
2,webmd,cnn,exelator
2,webmd,theguardian,yahoo
2,webmd,forbes,rubiconproject
2,webmd,theguardian,mxptint
2,webmd,theguardian,amazon-adsystem
2,webmd,forbes,mathtag
2,webmd,forbes,taboola
2,webmd,forbes,pubmatic
2,webmd,cnn,facebook
2,webmd,theguardian,simpli
2,webmd,forbes,media.net
2,webmd,theguardian,media.net
2,webmd,forbes,adnxs
2,webmd,forbes,bluekai
2,webmd,theguardian,taboola
2,webmd,forbes,ib-ibi
2,webmd,theguardian,sitescout
2,webmd,theguardian,mathtag
2,webmd,nytimes,yieldmo
2,webmd,forbes,exelator
2,webmd,cnn,spotxchange
2,webmd,nytimes,media.net
2,webmd,forbes,amazon-adsystem
2,forbes,colledgeboard,advertising
2,forbes,edx,doubleclick
2,forbes,harvard,doubleclick
2,forbes,colledgeboard,everesttech
2,forbes,edx,adsymptotic
2,forbes,harvard,facebook
2,forbes,edx,linkedin
2,forbes,mit,doubleclick
2,forbes,colledgeboard,doubleclick
2,forbes,jhu,facebook
2,forbes,jhu,doubleclick
2,forbes,colledgeboard,facebook
2,forbes,colledgeboard,demdex
2,forbes,edx,facebook
2,forbes,colledgeboard,yahoo
2,myfitnesspal,washingtonpost,advertising
2,myfitnesspal,forbes,sharethrough
2,myfitnesspal,washingtonpost,openx
2,myfitnesspal,washingtonpost,yahoo
2,myfitnesspal,cnn,rubiconproject
2,myfitnesspal,washingtonpost,rubiconproject
2,myfitnesspal,theguardian,tribalfusion
2,myfitnesspal,washingtonpost,amazon-adsystem
2,myfitnesspal,forbes,bidswitch
2,myfitnesspal,theguardian,bluekai
2,myfitnesspal,theguardian,adnxs
2,myfitnesspal,cnn,pubmatic
2,myfitnesspal,forbes,facebook
2,myfitnesspal,forbes,openx
2,myfitnesspal,forbes,yahoo
2,myfitnesspal,theguardian,tapad
2,myfitnesspal,theguardian,advertising
2,myfitnesspal,theguardian,advangelists
2,myfitnesspal,forbes,rfihub
2,myfitnesspal,washingtonpost,sharethrough
2,myfitnesspal,forbes,casalemedia
2,myfitnesspal,theguardian,zemanta
2,myfitnesspal,cnn,openx
2,myfitnesspal,forbes,adform
2,myfitnesspal,cnn,bidswitch
2,myfitnesspal,nytimes,adform
2,myfitnesspal,forbes,owneriq
2,myfitnesspal,theguardian,contextweb
2,myfitnesspal,nytimes,smartadserver
2,myfitnesspal,forbes,dotomi
2,myfitnesspal,theguardian,facebook
2,myfitnesspal,theguardian,casalemedia
2,myfitnesspal,forbes,zemanta
2,myfitnesspal,forbes,doubleclick
2,myfitnesspal,theguardian,sharethrough
2,myfitnesspal,cnn,casalemedia
2,myfitnesspal,cnn,sharethrough
2,myfitnesspal,washingtonpost,casalemedia
2,myfitnesspal,nytimes,openx
2,myfitnesspal,theguardian,bidr
2,myfitnesspal,cnn,amazon-adsystem
2,myfitnesspal,theguardian,1rx
2,myfitnesspal,nytimes,bing
2,myfitnesspal,nytimes,amazon-adsystem
2,myfitnesspal,theguardian,w55c
2,myfitnesspal,washingtonpost,doubleclick
2,myfitnesspal,forbes,w55c
2,myfitnesspal,theguardian,bing
2,myfitnesspal,nytimes,bluekai
2,myfitnesspal,forbes,sitescout
2,myfitnesspal,forbes,iasds01
2,myfitnesspal,nytimes,doubleclick
2,myfitnesspal,cnn,bluekai
2,myfitnesspal,theguardian,dotomi
2,myfitnesspal,cnn,quantserve
2,myfitnesspal,theguardian,pubmatic
2,myfitnesspal,cnn,adnxs
2,myfitnesspal,cnn,bing
2,myfitnesspal,forbes,1rx
2,myfitnesspal,cnn,scorecardresearch
2,myfitnesspal,theguardian,scorecardresearch
2,myfitnesspal,forbes,bidr
2,myfitnesspal,theguardian,doubleclick
2,myfitnesspal,theguardian,appier
2,myfitnesspal,cnn,doubleclick
2,myfitnesspal,cnn,zemanta
2,myfitnesspal,nytimes,scorecardresearch
2,myfitnesspal,theguardian,adform
2,myfitnesspal,theguardian,quantserve
2,myfitnesspal,theguardian,owneriq
2,myfitnesspal,forbes,quantserve
2,myfitnesspal,forbes,scorecardresearch
2,myfitnesspal,forbes,tapad
2,myfitnesspal,theguardian,bidswitch
2,myfitnesspal,forbes,advertising
2,myfitnesspal,theguardian,rfihub
2,myfitnesspal,washingtonpost,adnxs
2,myfitnesspal,cnn,exelator
2,myfitnesspal,theguardian,yahoo
2,myfitnesspal,forbes,rubiconproject
2,myfitnesspal,theguardian,amazon-adsystem
2,myfitnesspal,forbes,taboola
2,myfitnesspal,forbes,pubmatic
2,myfitnesspal,cnn,facebook
2,myfitnesspal,forbes,adnxs
2,myfitnesspal,forbes,bluekai
2,myfitnesspal,theguardian,taboola
2,myfitnesspal,theguardian,sitescout
2,myfitnesspal,forbes,myvisualiq
2,myfitnesspal,forbes,exelator
2,myfitnesspal,cnn,spotxchange
2,myfitnesspal,forbes,amazon-adsystem
2,mayoclinic,forbes,rubiconproject
2,mayoclinic,forbes,doubleclick
2,mayoclinic,cnn,mathtag
2,mayoclinic,theguardian,doubleclick
2,mayoclinic,theguardian,mathtag
2,mayoclinic,nytimes,doubleclick
2,mayoclinic,forbes,scorecardresearch
2,mayoclinic,theguardian,scorecardresearch
2,mayoclinic,cnn,rubiconproject
2,mayoclinic,cnn,doubleclick
2,mayoclinic,forbes,mathtag
2,mayoclinic,washingtonpost,nr-data
2,mayoclinic,cnn,bing
2,mayoclinic,cnn,scorecardresearch
2,mayoclinic,washingtonpost,doubleclick
2,mayoclinic,washingtonpost,rubiconproject
2,mayoclinic,nytimes,mathtag
2,mayoclinic,theguardian,bing
2,mayoclinic,nytimes,scorecardresearch
2,mayoclinic,nytimes,bing
2,cnn,colledgeboard,everesttech
2,nytimes,colledgeboard,everesttech
2,theguardian,colledgeboard,everesttech
3,nytimes,webmd,amazon-adsystem
3,nytimes,webmd,contextweb
3,nytimes,webmd,adsrvr
3,nytimes,webmd,media.net
3,nytimes,webmd,yahoo
3,nytimes,webmd,mfadsrvr
3,nytimes,medscape,deepintent
3,nytimes,webmd,twitter
3,nytimes,webmd,mathtag
3,nytimes,webmd,scorecardresearch
3,nytimes,webmd,doubleclick
3,nytimes,webmd,quantserve
3,nytimes,webmd,adform
3,nytimes,webmd,sharethrough
3,nytimes,webmd,bluekai
3,nytimes,webmd,adnxs
3,nytimes,webmd,srv
3,nytimes,webmd,bidswitch
3,theguardian,webmd,pubmatic
3,theguardian,webmd,adsrvr
3,theguardian,webmd,mathtag
3,theguardian,webmd,scorecardresearch
3,theguardian,webmd,turn.com
3,theguardian,webmd,amazon-adsystem
3,theguardian,webmd,yahoo
3,theguardian,webmd,exelator
3,theguardian,webmd,facebook
3,theguardian,webmd,zemanta
3,theguardian,webmd,bluekai
3,theguardian,webmd,adnxs
3,theguardian,webmd,contextweb
3,theguardian,webmd,media.net
3,theguardian,medscape,deepintent
3,theguardian,webmd,demdex
3,theguardian,webmd,sitescout
3,theguardian,webmd,sharethrough
3,theguardian,webmd,1rx
3,theguardian,webmd,advertising
3,theguardian,webmd,mfadsrvr
3,theguardian,webmd,adform
3,theguardian,webmd,doubleclick
3,theguardian,webmd,srv
3,theguardian,webmd,bidswitch
3,forbes,webmd,adsrvr
3,forbes,webmd,taboola
3,forbes,webmd,mathtag
3,forbes,webmd,scorecardresearch
3,forbes,webmd,turn.com
3,forbes,webmd,agkn
3,forbes,webmd,amazon-adsystem
3,forbes,webmd,yahoo
3,forbes,webmd,exelator
3,forbes,webmd,twitter
3,forbes,webmd,facebook
3,forbes,webmd,ib-ibi
3,forbes,webmd,zemanta
3,forbes,webmd,bluekai
3,forbes,webmd,dnacdn
3,forbes,webmd,adnxs
3,forbes,webmd,mookie1
3,forbes,webmd,contextweb
3,forbes,webmd,media.net
3,forbes,webmd,demdex
3,forbes,webmd,sitescout
3,forbes,webmd,sharethrough
3,forbes,webmd,rlcdn
3,forbes,webmd,1rx
3,forbes,webmd,advertising
3,forbes,webmd,mfadsrvr
3,forbes,webmd,adform
3,forbes,webmd,doubleclick
3,forbes,webmd,srv
3,forbes,webmd,bidswitch
3,cnn,webmd,pubmatic
3,cnn,webmd,adsrvr
3,cnn,webmd,taboola
3,cnn,webmd,mathtag
3,cnn,webmd,scorecardresearch
3,cnn,webmd,turn.com
3,cnn,webmd,agkn
3,cnn,webmd,amazon-adsystem
3,cnn,webmd,yahoo
3,cnn,webmd,exelator
3,cnn,webmd,twitter
3,cnn,webmd,facebook
3,cnn,webmd,zemanta
3,cnn,webmd,bluekai
3,cnn,webmd,adnxs
3,cnn,webmd,contextweb
3,cnn,webmd,demdex
3,cnn,webmd,sitescout
3,cnn,webmd,quantserve
3,cnn,webmd,sharethrough
3,cnn,webmd,1rx
3,cnn,webmd,mfadsrvr
3,cnn,webmd,adform
3,cnn,webmd,doubleclick
3,cnn,webmd,srv
3,cnn,webmd,bidswitch
3,washingtonpost,webmd,amazon-adsystem
3,washingtonpost,webmd,adsrvr
3,washingtonpost,webmd,advertising
3,washingtonpost,webmd,yahoo
3,washingtonpost,webmd,mfadsrvr
3,washingtonpost,webmd,rkdms
3,washingtonpost,webmd,scorecardresearch
3,washingtonpost,webmd,doubleclick
3,washingtonpost,webmd,sharethrough
3,washingtonpost,webmd,adnxs
3,washingtonpost,webmd,srv
3,washingtonpost,webmd,bidswitch
3,colledgeboard,forbes,atdmt
3,colledgeboard,webmd,yahoo
3,colledgeboard,forbes,bing
3,colledgeboard,cnn,everesttech
3,colledgeboard,webmd,demdex
3,colledgeboard,nytimes,everesttech
3,colledgeboard,cnn,atdmt
3,colledgeboard,webmd,doubleclick
3,colledgeboard,washingtonpost,nr-data
3,colledgeboard,cnn,bing
3,colledgeboard,cnn,demdex
3,colledgeboard,forbes,everesttech
3,colledgeboard,theguardian,everesttech
3,colledgeboard,webmd,facebook
3,colledgeboard,nytimes,bing
3,edx,forbes,bing
3,edx,theguardian,adsymptotic
3,edx,webmd,doubleclick
3,edx,cnn,bing
3,edx,washingtonpost,nr-data
3,edx,cnn,adsymptotic
3,edx,forbes,linkedin
3,edx,nytimes,bing
3,edx,forbes,adsymptotic
3,harvard,webmd,doubleclick
3,harvard,washingtonpost,nr-data
3,jhu,webmd,twitter
4,medscape,washingtonpost,advertising
4,medscape,cnn,yahoo
4,medscape,theguardian,acuityplatform
4,medscape,forbes,sharethrough
4,medscape,washingtonpost,openx
4,medscape,washingtonpost,yahoo
4,medscape,nytimes,adnxs
4,medscape,theguardian,deepintent
4,medscape,theguardian,contextweb
4,medscape,theguardian,openx
4,medscape,forbes,bidswitch
4,medscape,theguardian,facebook
4,medscape,nytimes,yahoo
4,medscape,theguardian,creativecdn
4,medscape,forbes,doubleclick
4,medscape,theguardian,adnxs
4,medscape,nytimes,doubleclick
4,medscape,theguardian,sharethrough
4,medscape,theguardian,bidswitch
4,medscape,forbes,facebook
4,medscape,forbes,openx
4,medscape,forbes,yahoo
4,medscape,cnn,w55c
4,medscape,forbes,advertising
4,medscape,theguardian,rfihub
4,medscape,cnn,adnxs
4,medscape,cnn,sharethrough
4,medscape,nytimes,advertising
4,medscape,nytimes,openx
4,medscape,washingtonpost,adnxs
4,medscape,theguardian,demdex
4,medscape,theguardian,yahoo
4,medscape,forbes,acuityplatform
4,medscape,theguardian,bttrack
4,medscape,theguardian,doubleclick
4,medscape,nytimes,sharethrough
4,medscape,forbes,demdex
4,medscape,cnn,doubleclick
4,medscape,theguardian,advertising
4,medscape,washingtonpost,nr-data
4,medscape,forbes,contextweb
4,medscape,forbes,rfihub
4,medscape,cnn,facebook
4,medscape,forbes,media.net
4,medscape,theguardian,media.net
4,medscape,cnn,advertising
4,medscape,forbes,adnxs
4,medscape,washingtonpost,sharethrough
4,medscape,cnn,creativecdn
4,medscape,cnn,turn.com
4,medscape,cnn,demdex
4,medscape,cnn,bidswitch
4,medscape,theguardian,w55c
4,medscape,washingtonpost,doubleclick
4,medscape,nytimes,media.net
4,medscape,forbes,w55c
4,medscape,cnn,bttrack
4,webmd,washingtonpost,advertising
4,webmd,cnn,mathtag
4,webmd,theguardian,extend.tv
4,webmd,theguardian,rubiconproject
4,webmd,forbes,sharethrough
4,webmd,washingtonpost,openx
4,webmd,washingtonpost,yahoo
4,webmd,cnn,rubiconproject
4,webmd,nytimes,everesttech
4,webmd,washingtonpost,rubiconproject
4,webmd,washingtonpost,amazon-adsystem
4,webmd,forbes,bidswitch
4,webmd,theguardian,bluekai
4,webmd,theguardian,adnxs
4,webmd,forbes,facebook
4,webmd,forbes,openx
4,webmd,forbes,yahoo
4,webmd,theguardian,adsrvr
4,webmd,theguardian,tapad
4,webmd,forbes,adsymptotic
4,webmd,cnn,agkn
4,webmd,cnn,rlcdn
4,webmd,theguardian,advertising
4,webmd,forbes,rfihub
4,webmd,forbes,contextweb
4,webmd,washingtonpost,sharethrough
4,webmd,forbes,casalemedia
4,webmd,cnn,creativecdn
4,webmd,forbes,adform
4,webmd,cnn,turn.com
4,webmd,cnn,demdex
4,webmd,cnn,bidswitch
4,webmd,forbes,agkn
4,webmd,washingtonpost,adsrvr
4,webmd,cnn,yahoo
4,webmd,theguardian,contextweb
4,webmd,theguardian,facebook
4,webmd,cnn,simpli
4,webmd,theguardian,creativecdn
4,webmd,theguardian,casalemedia
4,webmd,cnn,srv
4,webmd,forbes,doubleclick
4,webmd,forbes,zemanta
4,webmd,theguardian,sharethrough
4,webmd,cnn,casalemedia
4,webmd,theguardian,srv
4,webmd,cnn,sharethrough
4,webmd,washingtonpost,casalemedia
4,webmd,nytimes,openx
4,webmd,cnn,twitter
4,webmd,theguardian,gumgum
4,webmd,theguardian,bidr
4,webmd,cnn,amazon-adsystem
4,webmd,forbes,demdex
4,webmd,theguardian,yieldmo
4,webmd,theguardian,1rx
4,webmd,forbes,adsrvr
4,webmd,nytimes,twitter
4,webmd,washingtonpost,krxd
4,webmd,nytimes,amazon-adsystem
4,webmd,cnn,krxd
4,webmd,theguardian,everesttech
4,webmd,theguardian,w55c
4,webmd,washingtonpost,doubleclick
4,webmd,forbes,w55c
4,webmd,nytimes,bluekai
4,webmd,forbes,sitescout
4,webmd,forbes,gumgum
4,webmd,nytimes,adnxs
4,webmd,theguardian,3lift
4,webmd,cnn,adsrvr
4,webmd,nytimes,doubleclick
4,webmd,cnn,bluekai
4,webmd,cnn,everesttech
4,webmd,cnn,w55c
4,webmd,cnn,quantserve
4,webmd,theguardian,pubmatic
4,webmd,cnn,adnxs
4,webmd,forbes,1rx
4,webmd,washingtonpost,rkdms
4,webmd,nytimes,advertising
4,webmd,cnn,scorecardresearch
4,webmd,forbes,krxd
4,webmd,theguardian,demdex
4,webmd,theguardian,scorecardresearch
4,webmd,forbes,bidr
4,webmd,cnn,mfadsrvr
4,webmd,theguardian,doubleclick
4,webmd,cnn,doubleclick
4,webmd,forbes,srv
4,webmd,cnn,zemanta
4,webmd,cnn,advertising
4,webmd,nytimes,scorecardresearch
4,webmd,cnn,rkdms
4,webmd,theguardian,adform
4,webmd,theguardian,quantserve
4,webmd,theguardian,owneriq
4,webmd,theguardian,zorosrv
4,webmd,washingtonpost,srv
4,webmd,forbes,addthis
4,webmd,forbes,quantserve
4,webmd,theguardian,ipredictive
4,webmd,forbes,scorecardresearch
4,webmd,forbes,tapad
4,webmd,cnn,adform
4,webmd,forbes,3lift
4,webmd,nytimes,yahoo
4,webmd,cnn,owneriq
4,webmd,theguardian,bidswitch
4,webmd,theguardian,adsymptotic
4,webmd,theguardian,rfihub
4,webmd,forbes,advertising
4,webmd,theguardian,krxd
4,webmd,washingtonpost,adnxs
4,webmd,cnn,exelator
4,webmd,theguardian,yahoo
4,webmd,theguardian,exelator
4,webmd,theguardian,mxptint
4,webmd,nytimes,sharethrough
4,webmd,theguardian,amazon-adsystem
4,webmd,forbes,mathtag
4,webmd,forbes,taboola
4,webmd,forbes,pubmatic
4,webmd,cnn,facebook
4,webmd,forbes,media.net
4,webmd,theguardian,media.net
4,webmd,forbes,adnxs
4,webmd,forbes,bluekai
4,webmd,theguardian,taboola
4,webmd,forbes,ib-ibi
4,webmd,theguardian,sitescout
4,webmd,theguardian,mathtag
4,webmd,forbes,myvisualiq
4,webmd,forbes,exelator
4,webmd,nytimes,media.net
4,webmd,forbes,amazon-adsystem
4,myfitnesspal,washingtonpost,adsrvr
4,myfitnesspal,washingtonpost,advertising
4,myfitnesspal,cnn,yahoo
4,myfitnesspal,nytimes,bluekai
4,myfitnesspal,theguardian,rubiconproject
4,myfitnesspal,forbes,sitescout
4,myfitnesspal,forbes,sharethrough
4,myfitnesspal,forbes,scorecardresearch
4,myfitnesspal,washingtonpost,yahoo
4,myfitnesspal,washingtonpost,openx
4,myfitnesspal,cnn,rubiconproject
4,myfitnesspal,nytimes,adnxs
4,myfitnesspal,forbes,tapad
4,myfitnesspal,washingtonpost,rubiconproject
4,myfitnesspal,theguardian,contextweb
4,myfitnesspal,cnn,adform
4,myfitnesspal,theguardian,tribalfusion
4,myfitnesspal,theguardian,adnxs
4,myfitnesspal,forbes,dotomi
4,myfitnesspal,theguardian,openx
4,myfitnesspal,washingtonpost,amazon-adsystem
4,myfitnesspal,forbes,bidswitch
4,myfitnesspal,nytimes,yahoo
4,myfitnesspal,theguardian,facebook
4,myfitnesspal,theguardian,casalemedia
4,myfitnesspal,theguardian,bluekai
4,myfitnesspal,forbes,doubleclick
4,myfitnesspal,cnn,srv
4,myfitnesspal,cnn,w55c
4,myfitnesspal,forbes,zemanta
4,myfitnesspal,cnn,adsrvr
4,myfitnesspal,nytimes,doubleclick
4,myfitnesspal,cnn,casalemedia
4,myfitnesspal,theguardian,srv
4,myfitnesspal,cnn,bluekai
4,myfitnesspal,forbes,openx
4,myfitnesspal,forbes,yahoo
4,myfitnesspal,theguardian,dotomi
4,myfitnesspal,forbes,advertising
4,myfitnesspal,theguardian,adsrvr
4,myfitnesspal,washingtonpost,casalemedia
4,myfitnesspal,theguardian,bidswitch
4,myfitnesspal,theguardian,rfihub
4,myfitnesspal,nytimes,advertising
4,myfitnesspal,theguardian,tapad
4,myfitnesspal,cnn,scorecardresearch
4,myfitnesspal,nytimes,openx
4,myfitnesspal,cnn,adnxs
4,myfitnesspal,washingtonpost,adnxs
4,myfitnesspal,cnn,sharethrough
4,myfitnesspal,theguardian,yahoo
4,myfitnesspal,theguardian,scorecardresearch
4,myfitnesspal,cnn,amazon-adsystem
4,myfitnesspal,theguardian,doubleclick
4,myfitnesspal,nytimes,sharethrough
4,myfitnesspal,theguardian,amazon-adsystem
4,myfitnesspal,cnn,doubleclick
4,myfitnesspal,forbes,taboola
4,myfitnesspal,theguardian,advertising
4,myfitnesspal,forbes,adsrvr
4,myfitnesspal,forbes,contextweb
4,myfitnesspal,forbes,rfihub
4,myfitnesspal,cnn,facebook
4,myfitnesspal,theguardian,sharethrough
4,myfitnesspal,forbes,srv
4,myfitnesspal,washingtonpost,sharethrough
4,myfitnesspal,cnn,advertising
4,myfitnesspal,nytimes,scorecardresearch
4,myfitnesspal,forbes,adnxs
4,myfitnesspal,theguardian,adform
4,myfitnesspal,cnn,zemanta
4,myfitnesspal,forbes,casalemedia
4,myfitnesspal,forbes,bluekai
4,myfitnesspal,theguardian,taboola
4,myfitnesspal,theguardian,sitescout
4,myfitnesspal,forbes,facebook
4,myfitnesspal,nytimes,amazon-adsystem
4,myfitnesspal,forbes,adform
4,myfitnesspal,cnn,bidswitch
4,myfitnesspal,theguardian,w55c
4,myfitnesspal,washingtonpost,doubleclick
4,myfitnesspal,forbes,w55c
4,myfitnesspal,washingtonpost,srv
4,myfitnesspal,forbes,amazon-adsystem
4,colledgeboard,medscape,doubleclick
4,colledgeboard,medscape,facebook
4,colledgeboard,mayoclinic,doubleclick
4,colledgeboard,medscape,demdex
4,colledgeboard,forbes,atdmt
4,colledgeboard,webmd,yahoo
4,colledgeboard,verywellhealth,doubleclick
4,colledgeboard,webmd,everesttech
4,colledgeboard,webmd,demdex
4,colledgeboard,mayoclinic,bing
4,colledgeboard,webmd,facebook
4,colledgeboard,webmd,doubleclick
4,colledgeboard,myfitnesspal,doubleclick
4,colledgeboard,medscape,yahoo
4,colledgeboard,myfitnesspal,facebook
4,colledgeboard,myfitnesspal,yahoo
4,verywellhealth,washingtonpost,adsrvr
4,verywellhealth,theguardian,crwdcntrl
4,verywellhealth,theguardian,rubiconproject
4,verywellhealth,forbes,scorecardresearch
4,verywellhealth,cnn,rubiconproject
4,verywellhealth,washingtonpost,rubiconproject
4,verywellhealth,cnn,dnacdn
4,verywellhealth,washingtonpost,amazon-adsystem
4,verywellhealth,forbes,bidswitch
4,verywellhealth,theguardian,casalemedia
4,verywellhealth,cnn,srv
4,verywellhealth,forbes,doubleclick
4,verywellhealth,cnn,adsrvr
4,verywellhealth,nytimes,doubleclick
4,verywellhealth,cnn,casalemedia
4,verywellhealth,theguardian,srv
4,verywellhealth,theguardian,bidswitch
4,verywellhealth,theguardian,adsrvr
4,verywellhealth,washingtonpost,casalemedia
4,verywellhealth,washingtonpost,rkdms
4,verywellhealth,cnn,scorecardresearch
4,verywellhealth,theguardian,scorecardresearch
4,verywellhealth,cnn,amazon-adsystem
4,verywellhealth,theguardian,doubleclick
4,verywellhealth,theguardian,amazon-adsystem
4,verywellhealth,cnn,doubleclick
4,verywellhealth,cnn,rlcdn
4,verywellhealth,forbes,adsrvr
4,verywellhealth,forbes,srv
4,verywellhealth,nytimes,scorecardresearch
4,verywellhealth,cnn,rkdms
4,verywellhealth,forbes,casalemedia
4,verywellhealth,nytimes,amazon-adsystem
4,verywellhealth,cnn,bidswitch
4,verywellhealth,washingtonpost,doubleclick
4,verywellhealth,washingtonpost,srv
4,verywellhealth,forbes,amazon-adsystem
4,mayoclinic,cnn,mathtag
4,mayoclinic,theguardian,rubiconproject
4,mayoclinic,forbes,sharethrough
4,mayoclinic,forbes,scorecardresearch
4,mayoclinic,nytimes,adnxs
4,mayoclinic,cnn,rubiconproject
4,mayoclinic,washingtonpost,rubiconproject
4,mayoclinic,forbes,doubleclick
4,mayoclinic,theguardian,adnxs
4,mayoclinic,nytimes,doubleclick
4,mayoclinic,theguardian,sharethrough
4,mayoclinic,theguardian,pubmatic
4,mayoclinic,cnn,adnxs
4,mayoclinic,cnn,bing
4,mayoclinic,cnn,sharethrough
4,mayoclinic,cnn,scorecardresearch
4,mayoclinic,washingtonpost,adnxs
4,mayoclinic,theguardian,scorecardresearch
4,mayoclinic,theguardian,doubleclick
4,mayoclinic,nytimes,sharethrough
4,mayoclinic,forbes,mathtag
4,mayoclinic,cnn,doubleclick
4,mayoclinic,forbes,pubmatic
4,mayoclinic,washingtonpost,nr-data
4,mayoclinic,washingtonpost,sharethrough
4,mayoclinic,forbes,adnxs
4,mayoclinic,nytimes,scorecardresearch
4,mayoclinic,nytimes,bing
4,mayoclinic,washingtonpost,doubleclick
4,mayoclinic,theguardian,mathtag
4,edx,medscape,doubleclick
4,edx,mayoclinic,doubleclick
4,edx,verywellhealth,doubleclick
4,edx,mayoclinic,nr-data
4,edx,mayoclinic,bing
4,edx,webmd,doubleclick
4,edx,myfitnesspal,doubleclick
4,edx,webmd,adsymptotic
4,edx,forbes,linkedin
4,edx,medscape,nr-data
4,harvard,medscape,doubleclick
4,harvard,mayoclinic,doubleclick
4,harvard,verywellhealth,doubleclick
4,harvard,mayoclinic,nr-data
4,harvard,webmd,doubleclick
4,harvard,myfitnesspal,doubleclick
4,harvard,medscape,nr-data
4,jhu,webmd,twitter
5,forbes,webmd,adsrvr
5,forbes,mayoclinic,rubiconproject
5,forbes,webmd,3lift
5,forbes,webmd,everesttech
5,forbes,myfitnesspal,srv
5,forbes,webmd,taboola
5,forbes,myfitnesspal,bttrack
5,forbes,verywellhealth,amazon-adsystem
5,forbes,mayoclinic,pubmatic
5,forbes,webmd,agkn
5,forbes,myfitnesspal,amazon-adsystem
5,forbes,myfitnesspal,rubiconproject
5,forbes,webmd,zemanta
5,forbes,webmd,districtm
5,forbes,verywellhealth,bidswitch
5,forbes,myfitnesspal,openx
5,forbes,medscape,adnxs
5,forbes,myfitnesspal,bidswitch
5,forbes,webmd,demdex
5,forbes,verywellhealth,mfadsrvr
5,forbes,webmd,quantserve
5,forbes,myfitnesspal,yahoo
5,forbes,verywellhealth,crwdcntrl
5,forbes,mayoclinic,mathtag
5,forbes,webmd,srv
5,forbes,webmd,crwdcntrl
5,forbes,webmd,atdmt
5,forbes,webmd,bidr
5,forbes,webmd,adsymptotic
5,forbes,myfitnesspal,demdex
5,forbes,myfitnesspal,scorecardresearch
5,forbes,webmd,ipredictive
5,forbes,webmd,yahoo
5,forbes,verywellhealth,scorecardresearch
5,forbes,webmd,exelator
5,forbes,webmd,dnacdn
5,forbes,webmd,mookie1
5,forbes,webmd,contextweb
5,forbes,webmd,media.net
5,forbes,edx,linkedin
5,forbes,myfitnesspal,casalemedia
5,forbes,webmd,sitescout
5,forbes,webmd,sharethrough
5,forbes,myfitnesspal,sharethrough
5,forbes,edx,facebook
5,forbes,mayoclinic,adnxs
5,forbes,medscape,doubleclick
5,forbes,myfitnesspal,adsrvr
5,forbes,webmd,pubmatic
5,forbes,webmd,mathtag
5,forbes,webmd,scorecardresearch
5,forbes,jhu,facebook
5,forbes,webmd,spotxchange
5,forbes,webmd,rubiconproject
5,forbes,myfitnesspal,mfadsrvr
5,forbes,webmd,w55c
5,forbes,medscape,turn.com
5,forbes,mayoclinic,doubleclick
5,forbes,medscape,demdex
5,forbes,webmd,ib-ibi
5,forbes,webmd,bluekai
5,forbes,verywellhealth,srv
5,forbes,webmd,adnxs
5,forbes,myfitnesspal,taboola
5,forbes,verywellhealth,casalemedia
5,forbes,webmd,tapad
5,forbes,medscape,openx
5,forbes,webmd,rlcdn
5,forbes,webmd,advertising
5,forbes,webmd,mfadsrvr
5,forbes,mayoclinic,scorecardresearch
5,forbes,mayoclinic,bing
5,forbes,webmd,openx
5,forbes,webmd,doubleclick
5,forbes,myfitnesspal,doubleclick
5,forbes,harvard,facebook
5,forbes,webmd,bidswitch
5,forbes,myfitnesspal,advertising
5,forbes,webmd,rfihub
5,forbes,verywellhealth,doubleclick
5,forbes,webmd,turn.com
5,forbes,medscape,sharethrough
5,forbes,webmd,amazon-adsystem
5,forbes,webmd,simpli
5,forbes,webmd,twitter
5,forbes,webmd,adentifi
5,forbes,verywellhealth,adsrvr
5,forbes,webmd,casalemedia
5,forbes,myfitnesspal,sitescout
5,forbes,mayoclinic,sharethrough
5,forbes,myfitnesspal,contextweb
5,forbes,myfitnesspal,adnxs
5,forbes,myfitnesspal,owneriq
