exp,from,to,by
6,webmd,forbes,adsrvr
6,webmd,mit,doubleclick
6,webmd,forbes,everesttech
6,webmd,jhu,doubleclick
6,webmd,edx,facebook
6,webmd,nytimes,twitter
6,webmd,washingtonpost,krxd
6,webmd,nytimes,amazon-adsystem
6,webmd,cnn,krxd
6,webmd,forbes,twitter
6,webmd,theguardian,everesttech
6,webmd,theguardian,w55c
6,webmd,washingtonpost,doubleclick
6,webmd,forbes,w55c
6,webmd,nytimes,bluekai
6,webmd,forbes,sitescout
6,webmd,nytimes,adnxs
6,webmd,jhu,facebook
6,webmd,nytimes,mathtag
6,webmd,cnn,taboola
6,webmd,theguardian,3lift
6,webmd,nytimes,extend.tv
6,webmd,colledgeboard,everesttech
6,webmd,cnn,adsrvr
6,webmd,nytimes,doubleclick
6,webmd,cnn,bluekai
6,webmd,cnn,everesttech
6,webmd,cnn,w55c
6,webmd,theguardian,pubmatic
6,webmd,cnn,adnxs
6,webmd,forbes,1rx
6,webmd,cnn,addthis
6,webmd,nytimes,advertising
6,webmd,cnn,scorecardresearch
6,webmd,forbes,krxd
6,webmd,washingtonpost,rkdms
6,webmd,theguardian,demdex
6,webmd,theguardian,scorecardresearch
6,webmd,forbes,bidr
6,webmd,cnn,mfadsrvr
6,webmd,theguardian,doubleclick
6,webmd,forbes,atdmt
6,webmd,cnn,advangelists
6,webmd,cnn,doubleclick
6,webmd,nytimes,owneriq
6,webmd,colledgeboard,doubleclick
6,webmd,forbes,srv
6,webmd,cnn,zemanta
6,webmd,cnn,advertising
6,webmd,nytimes,scorecardresearch
6,webmd,cnn,rkdms
6,webmd,theguardian,adform
6,webmd,colledgeboard,advertising
6,webmd,theguardian,quantserve
6,webmd,theguardian,owneriq
6,webmd,forbes,ipredictive
6,webmd,washingtonpost,srv
6,webmd,harvard,facebook
6,webmd,forbes,addthis
6,webmd,theguardian,crwdcntrl
6,webmd,forbes,crwdcntrl
6,webmd,forbes,quantserve
6,webmd,theguardian,ipredictive
6,webmd,edx,adsymptotic
6,webmd,forbes,scorecardresearch
6,webmd,forbes,tapad
6,webmd,cnn,adform
6,webmd,forbes,3lift
6,webmd,theguardian,openx
6,webmd,cnn,contextweb
6,webmd,nytimes,yahoo
6,webmd,cnn,owneriq
6,webmd,theguardian,bidswitch
6,webmd,theguardian,adsymptotic
6,webmd,washingtonpost,scorecardresearch
6,webmd,forbes,advertising
6,webmd,theguardian,rfihub
6,webmd,nytimes,1rx
6,webmd,theguardian,krxd
6,webmd,cnn,gumgum
6,webmd,washingtonpost,adnxs
6,webmd,cnn,exelator
6,webmd,theguardian,yahoo
6,webmd,forbes,extend.tv
6,webmd,nytimes,sharethrough
6,webmd,theguardian,amazon-adsystem
6,webmd,forbes,mathtag
6,webmd,forbes,taboola
6,webmd,jhu,twitter
6,webmd,cnn,facebook
6,webmd,forbes,media.net
6,webmd,theguardian,media.net
6,webmd,forbes,adnxs
6,webmd,colledgeboard,facebook
6,webmd,cnn,sitescout
6,webmd,forbes,mookie1
6,webmd,forbes,bluekai
6,webmd,forbes,ib-ibi
6,webmd,theguardian,sitescout
6,webmd,theguardian,mathtag
6,webmd,forbes,myvisualiq
6,webmd,forbes,exelator
6,webmd,cnn,spotxchange
6,webmd,nytimes,media.net
6,webmd,forbes,amazon-adsystem
6,myfitnesspal,washingtonpost,advertising
6,myfitnesspal,forbes,sharethrough
6,myfitnesspal,forbes,bing
6,myfitnesspal,washingtonpost,openx
6,myfitnesspal,washingtonpost,yahoo
6,myfitnesspal,cnn,rubiconproject
6,myfitnesspal,cnn,appier
6,myfitnesspal,washingtonpost,rubiconproject
6,myfitnesspal,washingtonpost,amazon-adsystem
6,myfitnesspal,theguardian,bluekai
6,myfitnesspal,harvard,doubleclick
6,myfitnesspal,theguardian,adnxs
6,myfitnesspal,forbes,facebook
6,myfitnesspal,forbes,openx
6,myfitnesspal,forbes,yahoo
6,myfitnesspal,theguardian,adsrvr
6,myfitnesspal,theguardian,tapad
6,myfitnesspal,cnn,tapad
6,myfitnesspal,theguardian,advertising
6,myfitnesspal,washingtonpost,sharethrough
6,myfitnesspal,cnn,openx
6,myfitnesspal,edx,doubleclick
6,myfitnesspal,forbes,adform
6,myfitnesspal,cnn,demdex
6,myfitnesspal,cnn,bidswitch
6,myfitnesspal,colledgeboard,demdex
6,myfitnesspal,nytimes,adform
6,myfitnesspal,colledgeboard,yahoo
6,myfitnesspal,washingtonpost,adsrvr
6,myfitnesspal,edx,bing
6,myfitnesspal,cnn,yahoo
6,myfitnesspal,nytimes,casalemedia
6,myfitnesspal,washingtonpost,adform
6,myfitnesspal,theguardian,contextweb
6,myfitnesspal,forbes,dotomi
6,myfitnesspal,theguardian,facebook
6,myfitnesspal,theguardian,casalemedia
6,myfitnesspal,cnn,srv
6,myfitnesspal,forbes,doubleclick
6,myfitnesspal,theguardian,sharethrough
6,myfitnesspal,cnn,casalemedia
6,myfitnesspal,theguardian,srv
6,myfitnesspal,cnn,sharethrough
6,myfitnesspal,washingtonpost,casalemedia
6,myfitnesspal,colledgeboard,bing
6,myfitnesspal,nytimes,openx
6,myfitnesspal,theguardian,bidr
6,myfitnesspal,cnn,amazon-adsystem
6,myfitnesspal,forbes,demdex
6,myfitnesspal,forbes,adsrvr
6,myfitnesspal,mit,doubleclick
6,myfitnesspal,jhu,doubleclick
6,myfitnesspal,nytimes,bing
6,myfitnesspal,edx,facebook
6,myfitnesspal,nytimes,amazon-adsystem
6,myfitnesspal,theguardian,w55c
6,myfitnesspal,washingtonpost,doubleclick
6,myfitnesspal,forbes,w55c
6,myfitnesspal,theguardian,bing
6,myfitnesspal,nytimes,bluekai
6,myfitnesspal,nytimes,adnxs
6,myfitnesspal,jhu,facebook
6,myfitnesspal,cnn,taboola
6,myfitnesspal,cnn,adsrvr
6,myfitnesspal,nytimes,doubleclick
6,myfitnesspal,cnn,bluekai
6,myfitnesspal,cnn,w55c
6,myfitnesspal,theguardian,dotomi
6,myfitnesspal,cnn,adnxs
6,myfitnesspal,cnn,bing
6,myfitnesspal,nytimes,advertising
6,myfitnesspal,cnn,scorecardresearch
6,myfitnesspal,theguardian,demdex
6,myfitnesspal,theguardian,scorecardresearch
6,myfitnesspal,forbes,bidr
6,myfitnesspal,theguardian,doubleclick
6,myfitnesspal,cnn,doubleclick
6,myfitnesspal,nytimes,owneriq
6,myfitnesspal,colledgeboard,doubleclick
6,myfitnesspal,forbes,srv
6,myfitnesspal,cnn,advertising
6,myfitnesspal,nytimes,scorecardresearch
6,myfitnesspal,theguardian,adform
6,myfitnesspal,colledgeboard,advertising
6,myfitnesspal,theguardian,owneriq
6,myfitnesspal,washingtonpost,srv
6,myfitnesspal,harvard,facebook
6,myfitnesspal,forbes,scorecardresearch
