visit_id,host,name,value,time_stamp,type
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:44:39.921Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utmc,41573937,2020-04-23T01:44:39.921Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:44:39.921Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utmt,1,2020-04-23T01:44:39.921Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utmb,41573937.1.10.1587606280,2020-04-23T01:44:39.921Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:44:39.922Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utmc,41573937,2020-04-23T01:44:39.922Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:44:39.922Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utmt,1,2020-04-23T01:44:39.922Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utmb,41573937.1.10.1587606280,2020-04-23T01:44:39.922Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:44:39.922Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utmc,41573937,2020-04-23T01:44:39.922Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:44:39.922Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utmt,1,2020-04-23T01:44:39.922Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utmb,41573937.1.10.1587606280,2020-04-23T01:44:39.922Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:44:39.923Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utmc,41573937,2020-04-23T01:44:39.923Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:44:39.923Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utmt,1,2020-04-23T01:44:39.923Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utmb,41573937.1.10.1587606280,2020-04-23T01:44:39.923Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utma,41573937.1106402829.1587606280.1587606280.1587606280.1,2020-04-23T01:44:39.924Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utmc,41573937,2020-04-23T01:44:39.924Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utmz,41573937.1587606280.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none),2020-04-23T01:44:39.924Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utmt,1,2020-04-23T01:44:39.924Z,use
3,https://siteimproveanalytics.com/js/siteanalyze_8343.js,__utmb,41573937.1.10.1587606280,2020-04-23T01:44:39.924Z,use
