namevalue,context_id,count,host_list
"('UIDR', '1588205828')",2,10,"['sb.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com', 'sb.scorecardresearch.com']"
"('_cc_dc', '0')",1,1,['.crwdcntrl.net']
"('_cc_dc', '0')",2,2,"['bcp.crwdcntrl.net', 'bcp.crwdcntrl.net']"
"('_cc_id', '360b45e70492170566c9f5907a598e67')",1,1,['.crwdcntrl.net']
"('_cc_id', '360b45e70492170566c9f5907a598e67')",2,2,"['bcp.crwdcntrl.net', 'bcp.crwdcntrl.net']"
"('_ssum', 'e30')",1,4,"['.sitescout.com', '.sitescout.com', '.sitescout.com', 'pixel-a.sitescout.com']"
"('_ssum', 'e30')",2,3,"['.sitescout.com', '.sitescout.com', 'pixel-sync.sitescout.com']"
"('ad-id', 'A-TKbNvwtktyqEr3xtAcFRY')",1,18,"['.amazon-adsystem.com', '.amazon-adsystem.com', '.amazon-adsystem.com', '.amazon-adsystem.com', '.amazon-adsystem.com', '.amazon-adsystem.com', 's.amazon-adsystem.com', 's.amazon-adsystem.com', 's.amazon-adsystem.com', 's.amazon-adsystem.com', 's.amazon-adsystem.com', 's.amazon-adsystem.com', 's.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 's.amazon-adsystem.com', 's.amazon-adsystem.com']"
"('ad-id', 'A-TKbNvwtktyqEr3xtAcFRY')",2,35,"['c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com']"
"('ad-privacy', '0')",1,17,"['.amazon-adsystem.com', '.amazon-adsystem.com', '.amazon-adsystem.com', '.amazon-adsystem.com', '.amazon-adsystem.com', 's.amazon-adsystem.com', 's.amazon-adsystem.com', 's.amazon-adsystem.com', 's.amazon-adsystem.com', 's.amazon-adsystem.com', 's.amazon-adsystem.com', 's.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 's.amazon-adsystem.com', 's.amazon-adsystem.com']"
"('ad-privacy', '0')",2,35,"['c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com', 'c.amazon-adsystem.com']"
"('bkdc', 'phx')",1,2,"['.bluekai.com', 'stags.bluekai.com']"
"('bkdc', 'phx')",2,35,"['tags.bluekai.com', 'stags.bluekai.com', 'stags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'stags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'stags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'stags.bluekai.com', 'stags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'stags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'stags.bluekai.com', 'stags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'stags.bluekai.com', 'stags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'stags.bluekai.com', 'stags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com']"
"('bku', '53R99YLj3k8bzHxX')",1,4,"['.bluekai.com', '.bluekai.com', '.bluekai.com', 'stags.bluekai.com']"
"('bku', '53R99YLj3k8bzHxX')",2,73,"['.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', '.bluekai.com', 'tags.bluekai.com', 'stags.bluekai.com', 'stags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'stags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'stags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'stags.bluekai.com', 'stags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'stags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'stags.bluekai.com', 'stags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'stags.bluekai.com', 'stags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com', 'stags.bluekai.com', 'stags.bluekai.com', 'tags.bluekai.com', 'tags.bluekai.com']"
"('browser_data', 'vfZB_l9pJTJCM2VjWEdPa0h5YiUyQiUyQldyWWhVMnRoMXdzcmVZRXVQNm9ZVWo5NEdkd3FKdlBvOVhFcnM5bmJYQmlTJTJGa01wcXdCT0RRN0pUWEpyV1olMkY2YWhQbGk2QWclM0QlM0Q')",1,2,"['.dnacdn.net', '.dnacdn.net']"
"('browser_data', 'vfZB_l9pJTJCM2VjWEdPa0h5YiUyQiUyQldyWWhVMnRoMXdzcmVZRXVQNm9ZVWo5NEdkd3FKdlBvOVhFcnM5bmJYQmlTJTJGa01wcXdCT0RRN0pUWEpyV1olMkY2YWhQbGk2QWclM0QlM0Q')",2,2,"['dnacdn.net', 'dnacdn.net']"
"('c', '1588205834')",1,4,"['.bidswitch.net', 'x.bidswitch.net', 'x.bidswitch.net', 'x.bidswitch.net']"
"('c', '1588205834')",2,3,"['x.bidswitch.net', 'x.bidswitch.net', 'x.bidswitch.net']"
